TEAM,AdjOE,AdjDE,Tempo
Duke,128.10685013945567,90.7089876420698,65.78996789948323
Michigan,127.58900531494211,90.922684184158,71.20349273155217
Arizona,126.83610999441214,91.29041118717504,70.01331888105229
Florida,126.02697168619416,92.19710493208504,70.38579612636812
Houston,125.23090794895056,92.29462914358008,63.30959742078663
Illinois,131.8906152054795,98.10903531922516,65.70375907518832
Iowa St.,123.66613988124632,92.52367420339662,66.94097689372123
Purdue,133.26447605206926,100.14453936075633,64.42398825956973
Connecticut,123.04232837711824,94.91108099506545,64.57035171959426
Vanderbilt,127.40651779867518,99.28046867506094,68.97009045661473
Gonzaga,120.29816510129254,93.90594915308724,68.91792988314107
Michigan St.,122.870163756258,96.07895683143728,65.96664454451668
Texas Tech,126.24003201716596,98.73634236165344,66.38217170399884
Virginia,122.27074170223534,95.827067471758,65.56963299605944
St. John's,119.69700854673168,93.97939353434415,69.59040178953042
Tennessee,121.40654772374194,95.4251928065639,65.21351597625367
Louisville,123.96975339159764,98.09312369782694,69.69940308705598
Alabama,129.46828943580755,102.73163775146674,73.04425132932198
Arkansas,127.8722594945294,101.5502519311749,70.96340594424481
Nebraska,117.13008588561534,93.38556972137864,66.80672159923397
Wisconsin,127.13261655285729,101.53102366437966,68.68006546594493
Kansas,117.71933004942326,94.2670098910814,67.59082568011546
Ohio St.,125.14034352977876,101.46040763626404,66.14628071346316
Saint Mary's,119.38193030603124,97.46717122841542,65.27502409453946
UCLA,124.51839406225758,101.6839275553098,64.67291886790676
Iowa,122.06012865291228,100.09194892591375,63.01314286531613
North Carolina,121.30700077812142,99.90961798622064,67.97289728977807
Utah St.,123.06708793529936,101.95297540874732,67.52167484131871
Santa Clara,124.9778711278406,103.65346518594988,69.24503602909608
Clemson,116.49575544783536,96.95211647764302,64.2595362419712
Kentucky,119.84354213305062,99.88219292472876,68.30638564754433
Cincinnati,112.22637638414302,93.60234138427307,67.63462593306167
BYU,124.667865343771,104.2255244723854,69.76300380465602
Indiana,121.83778042375847,101.95663764214524,66.18506607350517
Miami FL,121.023656046192,101.36479791365429,67.9157335251118
Villanova,119.50428950130342,100.44758341324516,64.9322775906851
Georgia,124.36333209067725,104.71739961502696,72.01479554472202
Oklahoma,125.19027229423268,105.78780189444376,66.13451743669077
N.C. State,123.04158994000724,104.03774210000864,69.01714381232115
Texas A&M,119.80599852796009,101.38420526837324,71.0020786612359
SMU,122.91694423342793,104.9264382389925,68.60878865972275
Texas,123.20201019400496,105.39192963268836,67.0211882642494
San Diego St.,112.24636446907714,96.03813063885748,68.57111307360907
Auburn,123.82420457615838,106.01628908614131,67.29807071133162
Saint Louis,119.35526004929228,102.21133775164118,70.99742873068311
Missouri,119.8817746400991,102.95573017724234,66.36666787169554
Baylor,123.3633954446898,106.50089560905396,67.81980690583379
VCU,119.16044908267097,102.9847730525393,68.66610562429487
TCU,114.75173767227108,99.5441860678692,67.55578733950546
