Name,Team,G,PA,AB,H,HR,RBI,R
Jonathan Aranda,TBR,106,422,370,117,14,59,56
Isaac Paredes,HOU,102,438,378,96,20,53,53
Xavier Edwards,MIA,139,619,561,159,3,43,75
Brent Rooker,ATH,162,699,626,164,30,89,92
Christian Yelich,MIL,150,644,573,151,29,103,88
Wilyer Abreu,BOS,115,417,373,92,22,69,53
Brandon Marsh,PHI,133,425,379,106,11,43,59
Jung Hoo Lee,SFG,150,617,560,149,8,55,73
Spencer Torkelson,DET,155,649,563,135,31,78,82
Brett Baty,NYM,130,432,393,100,18,50,53
Mike Yastrzemski,- - -,147,558,477,111,17,46,68
Jake Meyers,HOU,104,381,343,100,3,24,53
Otto Lopez,MIA,143,594,544,134,15,77,66
Jakob Marsee,MIA,55,234,209,61,5,33,28
Daulton Varsho,TOR,71,271,248,59,20,55,43
Addison Barger,TOR,135,502,460,112,21,74,61
Mauricio Dubon,HOU,133,398,369,89,7,33,43
Alec Burleson,STL,139,546,497,144,18,69,54
Tyler Heineman,TOR,64,174,149,43,3,20,25
Jose Altuve,HOU,155,654,588,156,26,77,80
Ryan Jeffers,MIN,119,464,406,108,9,47,47
Jeff McNeil,NYM,122,462,399,97,12,54,42
J.T. Realmuto,PHI,134,550,502,129,12,52,57
Jose Caballero,- - -,126,370,314,74,5,36,52
Marcus Semien,TEX,127,534,470,108,15,62,62
Lawrence Butler,ATH,152,630,569,133,21,63,83
Sean Murphy,ATL,94,337,291,58,16,45,34
Giancarlo Stanton,NYY,77,281,249,68,24,66,36
Kyle Teel,CHW,78,297,253,69,8,35,38
Jordan Westburg,BAL,85,352,328,87,17,41,59
Ryan McMahon,- - -,154,586,509,109,20,53,62
Mike Trout,LAA,130,556,456,106,26,64,73
Francisco Alvarez,NYM,76,277,246,63,11,32,32
Nathan Lukes,TOR,135,438,388,99,12,65,55
Josh Smith,TEX,144,563,495,124,10,35,70
Jake Mangum,TBR,118,428,405,120,3,40,37
Myles Straw,TOR,137,299,267,70,4,32,51
Spencer Horwitz,PIT,108,411,364,99,11,51,55
Brandon Lowe,TBR,134,553,507,130,31,83,79
Alec Bohm,PHI,120,504,464,133,11,59,53
Wenceel Perez,DET,100,383,344,84,13,43,47
Austin Riley,ATL,102,447,416,108,16,54,54
Miguel Rojas,LAD,114,317,290,76,7,27,35
Josh Jung,TEX,131,511,482,121,14,61,53
Victor Scott II,STL,138,463,398,86,5,37,54
Luke Keaschall,MIN,49,207,182,55,4,28,25
Edmundo Sosa,PHI,89,261,243,67,11,39,30
Colt Keith,DET,137,468,414,106,13,45,65
Yainer Diaz,HOU,143,567,542,139,20,70,56
Oneil Cruz,PIT,135,544,471,94,20,61,62
Pedro Pages,STL,112,389,361,83,11,45,38
Luis Torrens,NYM,93,283,261,59,5,29,20
Dominic Canzone,SEA,82,268,243,73,11,32,30
Romy Gonzalez,BOS,96,341,315,96,9,53,47
Vinnie Pasquantino,KCR,160,682,621,164,32,113,72
Kerry Carpenter,DET,130,464,433,109,26,62,66
Matt Shaw,CHC,126,437,393,89,13,44,57
Jared Triolo,PIT,107,376,331,75,7,24,41
Bo Naylor,CLE,123,414,359,70,14,47,46
Daylen Lile,WSN,91,351,321,96,9,41,51
Matt Wallner,MIN,104,392,336,68,22,40,47
Mike Tauchman,CHW,93,385,335,88,9,40,44
Nolan Schanuel,LAA,132,564,488,129,12,53,64
Evan Carter,TEX,63,220,194,48,5,25,31
Lenyn Sosa,CHW,140,544,518,137,22,75,57
Kody Clemens,- - -,119,386,348,74,19,52,46
Javier Baez,DET,126,437,417,107,12,57,55
Michael Harris II,ATL,160,641,611,152,20,86,55
Matt McLain,CIN,147,577,510,112,15,50,73
Ke'Bryan Hayes,- - -,152,570,527,124,5,49,50
Joey Ortiz,MIL,149,506,470,108,7,45,62
Davis Schneider,TOR,82,227,188,44,11,31,33
Jurickson Profar,ATL,80,371,318,78,14,43,56
Heriberto Hernandez,MIA,87,294,256,68,10,45,40
Gavin Sheets,SDP,145,545,492,124,19,71,57
Danny Jansen,- - -,98,337,288,62,14,36,38
Miguel Vargas,CHW,138,569,504,118,16,60,80
Joey Bart,PIT,93,332,285,71,4,30,21
Cedric Mullins,- - -,133,498,435,94,17,59,58
Ozzie Albies,ATL,157,667,603,145,16,74,74
Luis Robert Jr.,CHW,110,431,382,85,14,53,52
Chase Meidroth,CHW,122,505,450,114,5,23,54
Denzel Clarke,ATH,47,159,148,34,3,8,18
Daniel Schneemann,CLE,131,422,379,78,12,41,48
Jo Adell,LAA,152,573,526,124,37,98,63
Kyle Manzardo,CLE,142,531,470,110,27,70,47
Austin Hays,CIN,103,416,380,101,15,64,60
Marcell Ozuna,ATL,145,592,487,113,21,68,61
Jackson Holliday,BAL,149,649,586,142,17,55,70
Adley Rutschman,BAL,90,365,322,71,9,29,37
Tommy Edman,LAD,97,377,346,78,13,49,49
Austin Hedges,CLE,70,180,155,25,5,10,13
Jahmai Jones,DET,72,150,129,37,7,23,21
Miguel Andujar,- - -,94,341,321,102,10,44,36
Alex Jackson,BAL,37,100,91,20,5,8,17
Noelvi Marte,CIN,90,360,339,89,14,51,45
Tyler Stephenson,CIN,88,342,299,69,13,50,40
Heliot Ramos,SFG,157,695,620,159,21,69,85
Bryan Reynolds,PIT,154,654,587,144,16,73,68
Christian Walker,HOU,154,640,585,139,27,88,72
Ramon Urias,- - -,112,391,352,85,11,44,33
Kyle Isbel,KCR,135,409,368,94,4,33,42
Gabriel Arias,CLE,129,471,432,95,11,54,44
Austin Wynns,- - -,40,110,103,30,6,21,13
Rob Refsnyder,BOS,70,209,182,49,9,30,29
Austin Martin,MIN,50,181,156,44,1,7,22
Spencer Steer,CIN,146,568,509,121,21,75,66
Blaze Alexander,ARI,74,266,230,53,7,28,31
Jesus Sanchez,- - -,134,497,451,107,14,48,61
Liam Hicks,MIA,119,390,332,82,6,45,37
Kyle Higashioka,TEX,94,327,303,73,11,47,33
Graham Pauley,MIA,62,184,161,36,4,11,18
Cam Smith,HOU,134,493,441,104,9,51,55
Royce Lewis,MIN,106,403,376,89,13,52,36
Anthony Volpe,NYY,153,596,539,114,19,72,65
Nick Fortes,- - -,97,242,218,50,5,21,19
Freddy Fermin,- - -,109,347,319,80,5,26,32
Andres Gimenez,TOR,101,369,329,69,7,35,39
Jacob Young,WSN,120,364,324,75,2,31,34
Rhys Hoskins,MIL,90,328,279,66,12,43,30
Alex Call,- - -,110,322,270,72,5,31,43
Jordan Beck,COL,148,588,539,139,16,53,62
Luis Arraez,SDP,154,675,620,181,8,61,66
Ty France,- - -,138,490,444,114,7,52,50
Nolan Arenado,STL,107,436,401,95,12,52,48
Nick Gonzales,PIT,96,408,381,99,5,30,39
Miguel Amaya,CHC,28,103,96,27,4,25,14
Jeremiah Jackson,BAL,48,183,170,47,5,21,20
Jake Bauers,MIL,86,218,183,43,7,28,28
Paul Goldschmidt,NYY,146,534,489,134,10,45,76
