IDfg,Name,PA,H,R,RBI,HR,SB,SO,Base_Hit_Rate,Base_HR_Rate,Base_RBI_Rate,Base_R_Rate,Base_SB_Rate,Base_K_Rate
22896,Lenyn Sosa,544,137,57,75,22,2,127,0.25183823529411764,0.04044117647058824,0.13786764705882354,0.10477941176470588,0.003676470588235294,0.23345588235294118
23003,Yainer Diaz,1186,314,126,154,36,3,202,0.26475548060708265,0.03035413153456998,0.12984822934232715,0.10623946037099494,0.002529510961214165,0.1703204047217538
23395,Eric Wagaman,514,119,56,53,9,4,100,0.23151750972762647,0.017509727626459144,0.10311284046692606,0.10894941634241245,0.007782101167315175,0.19455252918287938
23697,Julio Rodriguez,2037,509,284,266,84,91,483,0.2498772704958272,0.041237113402061855,0.13058419243986255,0.13942071674030437,0.044673539518900345,0.23711340206185566
24064,Ezequiel Tovar,1310,323,162,151,41,17,366,0.24656488549618322,0.031297709923664124,0.11526717557251909,0.12366412213740458,0.012977099236641221,0.27938931297709924
24262,Ceddanne Rafaela,1158,270,154,138,31,39,268,0.23316062176165803,0.02677029360967185,0.11917098445595854,0.13298791018998274,0.03367875647668394,0.231433506044905
24598,Addison Barger,502,112,61,74,21,4,121,0.22310756972111553,0.04183266932270916,0.14741035856573706,0.12151394422310757,0.00796812749003984,0.2410358565737052
24610,Steven Kwan,1951,481,257,154,30,54,186,0.24654023577652487,0.015376729882111738,0.07893388006150692,0.13172731932342388,0.027678113787801127,0.09533572526909277
24617,Jarren Duran,1431,350,197,159,37,58,329,0.2445842068483578,0.02585604472396925,0.1111111111111111,0.1376659678546471,0.04053109713487072,0.22990915443745633
24679,Brendan Donovan,1167,295,129,123,24,8,148,0.2527849185946872,0.02056555269922879,0.10539845758354756,0.11053984575835475,0.006855184233076264,0.1268209083119109
24729,Logan O'Hoppe,522,117,64,56,20,2,155,0.22413793103448276,0.038314176245210725,0.10727969348659004,0.12260536398467432,0.0038314176245210726,0.29693486590038315
24770,James Outman,567,120,86,70,23,16,181,0.21164021164021163,0.04056437389770723,0.12345679012345678,0.15167548500881833,0.02821869488536155,0.31922398589065254
24816,Andy Pages,624,158,74,86,27,14,135,0.2532051282051282,0.04326923076923077,0.13782051282051283,0.11858974358974358,0.022435897435897436,0.21634615384615385
25479,Brenton Doyle,1141,258,139,129,38,48,291,0.22611744084136723,0.033304119193689745,0.11305872042068361,0.12182296231375986,0.042068361086765996,0.25503943908851884
25493,Joey Ortiz,1017,213,120,105,18,25,177,0.20943952802359883,0.017699115044247787,0.10324483775811209,0.11799410029498525,0.024582104228121928,0.17404129793510326
